efficiency = 0.06566666666666666, stage_cost_sum = -59814.0
efficiency = 0.06816666666666667, stage_cost_sum = -61649.0
efficiency = 0.06833333333333333, stage_cost_sum = -62130.0
efficiency = 0.06666666666666667, stage_cost_sum = -60780.0
efficiency = 0.067, stage_cost_sum = -60902
efficiency = 0.06483333333333334, stage_cost_sum = -58849.0
efficiency = 0.06833333333333333, stage_cost_sum = -62410
efficiency = 0.06533333333333333, stage_cost_sum = -59392
efficiency = 0.06483333333333334, stage_cost_sum = -58889
efficiency = 0.06533333333333333, stage_cost_sum = -59392
efficiency = 0.06466666666666666, stage_cost_sum = -58528.0
efficiency = 0.0685, stage_cost_sum = -62411
efficiency = 0.06883333333333333, stage_cost_sum = -62273.0
efficiency = 0.067, stage_cost_sum = -60822.0
efficiency = 0.0675, stage_cost_sum = -61405
efficiency = 0.06816666666666667, stage_cost_sum = -62409
efficiency = 0.068, stage_cost_sum = -61908
efficiency = 0.069, stage_cost_sum = -62914
efficiency = 0.066, stage_cost_sum = -59696.0
efficiency = 0.06983333333333333, stage_cost_sum = -63919
efficiency = 0.06766666666666667, stage_cost_sum = -61746.0
efficiency = 0.0675, stage_cost_sum = -61005.0
efficiency = 0.06816666666666667, stage_cost_sum = -62369.0
efficiency = 0.06783333333333333, stage_cost_sum = -61667.0
efficiency = 0.06766666666666667, stage_cost_sum = -61786.0
efficiency = 0.06816666666666667, stage_cost_sum = -62409
efficiency = 0.066, stage_cost_sum = -59736.0
efficiency = 0.0655, stage_cost_sum = -59393
efficiency = 0.06683333333333333, stage_cost_sum = -60341.0
efficiency = 0.06783333333333333, stage_cost_sum = -61907
efficiency = 0.066, stage_cost_sum = -59176.0
efficiency = 0.067, stage_cost_sum = -60822.0
efficiency = 0.06916666666666667, stage_cost_sum = -63415
efficiency = 0.06866666666666667, stage_cost_sum = -62552.0
efficiency = 0.06716666666666667, stage_cost_sum = -61163.0
efficiency = 0.06733333333333333, stage_cost_sum = -61044.0
efficiency = 0.06783333333333333, stage_cost_sum = -61347.0
efficiency = 0.06766666666666667, stage_cost_sum = -61786.0
efficiency = 0.06783333333333333, stage_cost_sum = -61387.0
efficiency = 0.06716666666666667, stage_cost_sum = -61163.0
efficiency = 0.06466666666666666, stage_cost_sum = -58768.0
efficiency = 0.06433333333333334, stage_cost_sum = -58226.0
efficiency = 0.06683333333333333, stage_cost_sum = -60741.0
efficiency = 0.06633333333333333, stage_cost_sum = -60398
efficiency = 0.06583333333333333, stage_cost_sum = -58535.0
efficiency = 0.0675, stage_cost_sum = -61085.0
efficiency = 0.06533333333333333, stage_cost_sum = -59392
efficiency = 0.06816666666666667, stage_cost_sum = -62329.0
efficiency = 0.06533333333333333, stage_cost_sum = -59032.0
efficiency = 0.06583333333333333, stage_cost_sum = -59375.0
efficiency = 0.06683333333333333, stage_cost_sum = -60821.0
efficiency = 0.06716666666666667, stage_cost_sum = -60883.0
efficiency = 0.06683333333333333, stage_cost_sum = -60821.0
efficiency = 0.06816666666666667, stage_cost_sum = -62289.0
efficiency = 0.06833333333333333, stage_cost_sum = -62330.0
efficiency = 0.06666666666666667, stage_cost_sum = -60820.0
efficiency = 0.06883333333333333, stage_cost_sum = -62833.0
efficiency = 0.067, stage_cost_sum = -60902
