efficiency = 0.04466666666666667, stage_cost_sum = 42644.0
efficiency = 0.058333333333333334, stage_cost_sum = -29356.0
efficiency = 0.049, stage_cost_sum = 18016.0
efficiency = 0.055, stage_cost_sum = -20482.0
efficiency = 0.0595, stage_cost_sum = -33553.0
efficiency = 0.05616666666666666, stage_cost_sum = -22626.0
efficiency = 0.0555, stage_cost_sum = -12257.0
efficiency = 0.06233333333333333, stage_cost_sum = -55301.0
efficiency = 0.06216666666666667, stage_cost_sum = -54611.0
efficiency = 0.05566666666666667, stage_cost_sum = -15855.0
efficiency = 0.059333333333333335, stage_cost_sum = -45997.0
efficiency = 0.059333333333333335, stage_cost_sum = -44866.0
efficiency = 0.06183333333333333, stage_cost_sum = -54600.0
efficiency = 0.058, stage_cost_sum = -40366.0
efficiency = 0.05583333333333333, stage_cost_sum = -21294.0
efficiency = 0.05616666666666666, stage_cost_sum = -21207.0
efficiency = 0.05733333333333333, stage_cost_sum = -22658.0
efficiency = 0.0505, stage_cost_sum = 13516.0
efficiency = 0.05566666666666667, stage_cost_sum = -10267.0
efficiency = 0.058833333333333335, stage_cost_sum = -35545.0
efficiency = 0.06016666666666667, stage_cost_sum = -43718.0
efficiency = 0.062, stage_cost_sum = -43183.0
efficiency = 0.057833333333333334, stage_cost_sum = -28947.0
efficiency = 0.055, stage_cost_sum = -14008.0
efficiency = 0.05633333333333333, stage_cost_sum = -29686.0
efficiency = 0.059833333333333336, stage_cost_sum = -43117.0
efficiency = 0.057166666666666664, stage_cost_sum = -26627.0
efficiency = 0.051666666666666666, stage_cost_sum = -737.0
efficiency = 0.058833333333333335, stage_cost_sum = -30790.0
efficiency = 0.051666666666666666, stage_cost_sum = 3771.0
efficiency = 0.058, stage_cost_sum = -30125.0
efficiency = 0.057833333333333334, stage_cost_sum = -25370.0
efficiency = 0.060833333333333336, stage_cost_sum = -45746.0
efficiency = 0.04783333333333333, stage_cost_sum = 28099.0
efficiency = 0.04933333333333333, stage_cost_sum = 18154.0
efficiency = 0.056666666666666664, stage_cost_sum = -17941.0
efficiency = 0.058666666666666666, stage_cost_sum = -39708.0
efficiency = 0.062, stage_cost_sum = -48230.0
efficiency = 0.0555, stage_cost_sum = -21281.0
efficiency = 0.05383333333333333, stage_cost_sum = -6728.0
efficiency = 0.048, stage_cost_sum = 27462.0
efficiency = 0.058, stage_cost_sum = -34245.0
efficiency = 0.052833333333333336, stage_cost_sum = -7625.0
efficiency = 0.05466666666666667, stage_cost_sum = -11801.0
efficiency = 0.051166666666666666, stage_cost_sum = 8933.0
efficiency = 0.058833333333333335, stage_cost_sum = -32550.0
efficiency = 0.054, stage_cost_sum = -5160.0
efficiency = 0.05333333333333334, stage_cost_sum = -2648.0
efficiency = 0.057166666666666664, stage_cost_sum = -32707.0
efficiency = 0.06366666666666666, stage_cost_sum = -56961.0
efficiency = 0.050166666666666665, stage_cost_sum = 10431.0
efficiency = 0.05633333333333333, stage_cost_sum = -26111.0
efficiency = 0.05633333333333333, stage_cost_sum = -25766.0
efficiency = 0.056666666666666664, stage_cost_sum = -23035.0
efficiency = 0.051333333333333335, stage_cost_sum = 4921.0
efficiency = 0.051166666666666666, stage_cost_sum = 12855.0
efficiency = 0.059166666666666666, stage_cost_sum = -34870.0
efficiency = 0.057, stage_cost_sum = -38180.0
efficiency = 0.059333333333333335, stage_cost_sum = -29233.0
efficiency = 0.051, stage_cost_sum = 14040.0
efficiency = 0.052333333333333336, stage_cost_sum = -7712.0
efficiency = 0.062, stage_cost_sum = -56121
efficiency = 0.05683333333333333, stage_cost_sum = -31026.0
efficiency = 0.05633333333333333, stage_cost_sum = -26697.0
efficiency = 0.0485, stage_cost_sum = 14901.0
efficiency = 0.060333333333333336, stage_cost_sum = -44018.0
efficiency = 0.05433333333333333, stage_cost_sum = -10414.0
efficiency = 0.056, stage_cost_sum = -18695.0
efficiency = 0.058333333333333334, stage_cost_sum = -30969.0
efficiency = 0.06133333333333333, stage_cost_sum = -50369.0
efficiency = 0.056, stage_cost_sum = -15461.0
efficiency = 0.05733333333333333, stage_cost_sum = -25843.0
efficiency = 0.0585, stage_cost_sum = -35191.0
efficiency = 0.05633333333333333, stage_cost_sum = -19539.0
efficiency = 0.051833333333333335, stage_cost_sum = 6856.0
efficiency = 0.058833333333333335, stage_cost_sum = -48626.0
efficiency = 0.056666666666666664, stage_cost_sum = -29209.0
efficiency = 0.051833333333333335, stage_cost_sum = -1423.0
efficiency = 0.05533333333333333, stage_cost_sum = -12259.0
efficiency = 0.059333333333333335, stage_cost_sum = -39668.0
efficiency = 0.06066666666666667, stage_cost_sum = -42853.0
efficiency = 0.05533333333333333, stage_cost_sum = -21967.0
efficiency = 0.055, stage_cost_sum = -19643.0
efficiency = 0.0545, stage_cost_sum = -10714.0
efficiency = 0.057833333333333334, stage_cost_sum = -31691.0
efficiency = 0.0595, stage_cost_sum = -34627.0
efficiency = 0.060833333333333336, stage_cost_sum = -40456.0
efficiency = 0.0475, stage_cost_sum = 25117.0
efficiency = 0.052333333333333336, stage_cost_sum = 8070.0
efficiency = 0.05466666666666667, stage_cost_sum = -18273.0
efficiency = 0.057666666666666665, stage_cost_sum = -29041.0
efficiency = 0.049833333333333334, stage_cost_sum = 4223.0
efficiency = 0.0605, stage_cost_sum = -44263.0
efficiency = 0.05583333333333333, stage_cost_sum = -21292.0
efficiency = 0.057, stage_cost_sum = -25346.0
efficiency = 0.059666666666666666, stage_cost_sum = -39293.0
efficiency = 0.053, stage_cost_sum = 1683.0
efficiency = 0.057, stage_cost_sum = -21077.0
efficiency = 0.06216666666666667, stage_cost_sum = -55199.0
efficiency = 0.06133333333333333, stage_cost_sum = -48409.0
