efficiency = 0.026483050847457626, stage_cost_sum = 20906.0
efficiency = 0.021642266072565246, stage_cost_sum = 17769.0
efficiency = 0.027455121436114043, stage_cost_sum = 45626.0
efficiency = 0.031642014604006743, stage_cost_sum = 177749.0
efficiency = 0.022727272727272728, stage_cost_sum = 9954.0
efficiency = 0.023938572719060525, stage_cost_sum = 84232.0
efficiency = 0.025332985113606685, stage_cost_sum = 81541.0
efficiency = 0.0256, stage_cost_sum = 55340.0
efficiency = 0.02558922558922559, stage_cost_sum = 68590.0
efficiency = 0.02565880721220527, stage_cost_sum = 28928.0
efficiency = 0.023989898989898988, stage_cost_sum = 13398.0
efficiency = 0.022988505747126436, stage_cost_sum = 60652.0
efficiency = 0.015288394718554551, stage_cost_sum = -4238.0
efficiency = 0.027240773286467488, stage_cost_sum = 26572.0
efficiency = 0.017241379310344827, stage_cost_sum = 10480.0
efficiency = 0.023961254142238084, stage_cost_sum = 71417.0
efficiency = 0.024661893396976928, stage_cost_sum = 30653.0
efficiency = 0.029488291413703384, stage_cost_sum = 31987.0
efficiency = 0.03462603878116344, stage_cost_sum = 25928.0
efficiency = 0.022148760330578512, stage_cost_sum = 44445.0
efficiency = 0.01943095072866065, stage_cost_sum = 10839.0
efficiency = 0.03342245989304813, stage_cost_sum = 27102.0
efficiency = 0.022903453136011276, stage_cost_sum = 42612.0
efficiency = 0.026151222285389426, stage_cost_sum = 39101.0
efficiency = 0.026227944682880304, stage_cost_sum = 46653.0
efficiency = 0.022297488004515947, stage_cost_sum = 54247.0
efficiency = 0.027245949926362298, stage_cost_sum = 31412.0
efficiency = 0.03297872340425532, stage_cost_sum = 34170.0
efficiency = 0.018739352640545145, stage_cost_sum = 16415.0
efficiency = 0.02801574438527437, stage_cost_sum = 111491.0
efficiency = 0.008, stage_cost_sum = -8750.0
efficiency = 0.018726591760299626, stage_cost_sum = 10115.0
efficiency = 0.01577833365403117, stage_cost_sum = 2623.0
efficiency = 0.023056300268096516, stage_cost_sum = 29165.0
efficiency = 0.028034682080924855, stage_cost_sum = 103710.0
efficiency = 0.021133525456292025, stage_cost_sum = 10979.0
efficiency = 0.011729405346426624, stage_cost_sum = -31236.0
efficiency = 0.04, stage_cost_sum = 35980.0
efficiency = 0.016187778227438283, stage_cost_sum = 10529.0
efficiency = 0.01818181818181818, stage_cost_sum = 3945.0
efficiency = 0.018018018018018018, stage_cost_sum = 16053.0
efficiency = 0.023521932612841703, stage_cost_sum = 33597.0
efficiency = 0.023529411764705882, stage_cost_sum = 17690.0
efficiency = 0.033136094674556214, stage_cost_sum = 30835.0
efficiency = 0.026937422295897222, stage_cost_sum = 115274.0
efficiency = 0.010323791647114031, stage_cost_sum = -24511.0
efficiency = 0.0205706702057067, stage_cost_sum = 33203.0
efficiency = 0.017272727272727273, stage_cost_sum = 3090.0
efficiency = 0.029723991507430998, stage_cost_sum = 24538.0
efficiency = 0.024869866975130134, stage_cost_sum = 34501.0
efficiency = 0.027818448023426062, stage_cost_sum = 14907.0
efficiency = 0.01630049610205528, stage_cost_sum = 18838.0
efficiency = 0.011391375101708706, stage_cost_sum = -11889.0
efficiency = 0.03918495297805643, stage_cost_sum = 30612.0
efficiency = 0.016407599309153715, stage_cost_sum = 12432.0
efficiency = 0.032, stage_cost_sum = 29805.0
efficiency = 0.05929487179487179, stage_cost_sum = 56546.0
efficiency = 0.018304071722076952, stage_cost_sum = 25813.0
efficiency = 0.02373887240356083, stage_cost_sum = 50915.0
efficiency = 0.025898078529657476, stage_cost_sum = 25113.0
efficiency = 0.01639344262295082, stage_cost_sum = 1137.0
efficiency = 0.016832440703902066, stage_cost_sum = 3113.0
efficiency = 0.026119402985074626, stage_cost_sum = 49614.0
efficiency = 0.02759381898454746, stage_cost_sum = 21144.0
