efficiency = 0.06190476190476191, stage_cost_sum = 16320.0
efficiency = 0.02702702702702703, stage_cost_sum = -1827.0
efficiency = 0.031067961165048542, stage_cost_sum = 14645.0
efficiency = 0.02857142857142857, stage_cost_sum = -1825.0
efficiency = 0.022727272727272728, stage_cost_sum = -2234.0
efficiency = 0.012006861063464836, stage_cost_sum = -5713.0
efficiency = 0.03804347826086957, stage_cost_sum = 8486.0
efficiency = 0.04046242774566474, stage_cost_sum = 7897.0
efficiency = 0.02857142857142857, stage_cost_sum = -1825.0
efficiency = 0.02877697841726619, stage_cost_sum = 1701.0
efficiency = 0.02857142857142857, stage_cost_sum = -1625.0
efficiency = 0.027777777777777776, stage_cost_sum = -2026.0
efficiency = 0.0196078431372549, stage_cost_sum = -1841.0
efficiency = 0.02857142857142857, stage_cost_sum = -1825.0
efficiency = 0.012750455373406194, stage_cost_sum = 3121.0
efficiency = 0.027777777777777776, stage_cost_sum = -2026.0
efficiency = 0.023255813953488372, stage_cost_sum = -1633.0
efficiency = 0.03397027600849257, stage_cost_sum = 18889.0
efficiency = 0.05714285714285714, stage_cost_sum = 3170.0
efficiency = 0.027600849256900213, stage_cost_sum = 10059.0
efficiency = 0.04961832061068702, stage_cost_sum = 18068.0
efficiency = 0.02218430034129693, stage_cost_sum = 5344.0
efficiency = 0.04830917874396135, stage_cost_sum = 12093.0
efficiency = 0.024390243902439025, stage_cost_sum = -1831.0
efficiency = 0.04784688995215311, stage_cost_sum = 13091.0
efficiency = 0.052256532066508314, stage_cost_sum = 32199.0
efficiency = 0.04491725768321513, stage_cost_sum = 24167.0
efficiency = 0.05426356589147287, stage_cost_sum = 8541.0
