efficiency = 0.06209150326797386, stage_cost_sum = 1844.0
efficiency = 0.05702647657841141, stage_cost_sum = 3228.0
efficiency = 0.05828220858895705, stage_cost_sum = 1824.0
efficiency = 0.06126126126126126, stage_cost_sum = 4210.0
efficiency = 0.05, stage_cost_sum = -82.0
efficiency = 0.059957173447537475, stage_cost_sum = 3252.0
efficiency = 0.05804749340369393, stage_cost_sum = 2294.0
efficiency = 0.07017543859649122, stage_cost_sum = -522.0
efficiency = 0.06349206349206349, stage_cost_sum = -528.0
efficiency = 0.057724957555178265, stage_cost_sum = 4176.0
efficiency = 0.06862745098039216, stage_cost_sum = -44.0
efficiency = 0.05776173285198556, stage_cost_sum = 1350.0
efficiency = 0.0784313725490196, stage_cost_sum = -516.0
efficiency = 0.05909090909090909, stage_cost_sum = 884.0
efficiency = 0.06170598911070781, stage_cost_sum = 4214.0
efficiency = 0.05962059620596206, stage_cost_sum = 2304.0
efficiency = 0.0641025641025641, stage_cost_sum = 2806.0
efficiency = 0.059006211180124224, stage_cost_sum = 1828.0
efficiency = 0.06779661016949153, stage_cost_sum = -524.0
efficiency = 0.059130434782608696, stage_cost_sum = 4190.0
efficiency = 0.05970149253731343, stage_cost_sum = 3250.0
efficiency = 0.05725971370143149, stage_cost_sum = 3230.0
efficiency = 0.05792163543441227, stage_cost_sum = 4178.0
efficiency = 0.055445544554455446, stage_cost_sum = 2215.0
efficiency = 0.06140350877192982, stage_cost_sum = -56.0
efficiency = 0.05555555555555555, stage_cost_sum = -68.0
efficiency = 0.05961538461538462, stage_cost_sum = 3722.0
efficiency = 0.06374501992031872, stage_cost_sum = 1376.0
efficiency = 0.06031128404669261, stage_cost_sum = 3728.0
efficiency = 0.07017543859649122, stage_cost_sum = -522.0
efficiency = 0.05855855855855856, stage_cost_sum = 882.0
efficiency = 0.058712121212121215, stage_cost_sum = 3714.0
efficiency = 0.0577319587628866, stage_cost_sum = 3234.0
efficiency = 0.058212058212058215, stage_cost_sum = 3238.0
efficiency = 0.056555269922879174, stage_cost_sum = 2284.0
efficiency = 0.05845511482254697, stage_cost_sum = 3240.0
efficiency = 0.06208053691275168, stage_cost_sum = 4692.0
efficiency = 0.06218905472636816, stage_cost_sum = 2794.0
efficiency = 0.05516014234875445, stage_cost_sum = 3680.0
efficiency = 0.05864197530864197, stage_cost_sum = 1826.0
efficiency = 0.05970149253731343, stage_cost_sum = -532.0
efficiency = 0.06694560669456066, stage_cost_sum = 1388.0
efficiency = 0.05693950177935943, stage_cost_sum = 1346.0
efficiency = 0.06372549019607843, stage_cost_sum = 900.0
efficiency = 0.05371900826446281, stage_cost_sum = 862.0
efficiency = 0.05924170616113744, stage_cost_sum = 2774.0
efficiency = 0.05737704918032787, stage_cost_sum = -64.0
efficiency = 0.06862745098039216, stage_cost_sum = -44.0
efficiency = 0.0673076923076923, stage_cost_sum = -46.0
efficiency = 0.0625, stage_cost_sum = 896.0
efficiency = 0.059322033898305086, stage_cost_sum = -60.0
efficiency = 0.06177606177606178, stage_cost_sum = 1368.0
efficiency = 0.059322033898305086, stage_cost_sum = -60.0
efficiency = 0.05894736842105263, stage_cost_sum = 3244.0
efficiency = 0.065, stage_cost_sum = 904.0
efficiency = 0.06418918918918919, stage_cost_sum = 1854.0
efficiency = 0.056338028169014086, stage_cost_sum = -536.0
efficiency = 0.05855855855855856, stage_cost_sum = 882.0
efficiency = 0.056140350877192984, stage_cost_sum = 1342.0
