efficiency = 0.04605776736924278, stage_cost_sum = 190418.0
efficiency = 0.03808073115003808, stage_cost_sum = 75787.0
efficiency = 0.040846097738876735, stage_cost_sum = 178378.0
efficiency = 0.039483675018982534, stage_cost_sum = 81003.0
efficiency = 0.038992201559688064, stage_cost_sum = 209766.0
efficiency = 0.03571428571428571, stage_cost_sum = 252974.0
efficiency = 0.04195535026943803, stage_cost_sum = 175692.0
efficiency = 0.04435226547543076, stage_cost_sum = 224056.0
efficiency = 0.03929024081115336, stage_cost_sum = 47121.0
efficiency = 0.03905511811023622, stage_cost_sum = 198465.0
efficiency = 0.039141414141414144, stage_cost_sum = 47118.0
efficiency = 0.045319465081723624, stage_cost_sum = 97664.0
efficiency = 0.04027777777777778, stage_cost_sum = 42370.0
efficiency = 0.036941580756013746, stage_cost_sum = 64066.0
efficiency = 0.036720751494449186, stage_cost_sum = 67259.0
efficiency = 0.023633677991137372, stage_cost_sum = 22483.0
efficiency = 0.039878849066128215, stage_cost_sum = 124609.0
efficiency = 0.0329512893982808, stage_cost_sum = 70664.0
efficiency = 0.03727714748784441, stage_cost_sum = 70226.0
efficiency = 0.0388178209086899, stage_cost_sum = 139413.0
efficiency = 0.041390728476821195, stage_cost_sum = 37446.0
efficiency = 0.04283054003724395, stage_cost_sum = 73186.0
efficiency = 0.03883726471289016, stage_cost_sum = 264233.0
efficiency = 0.03298350824587706, stage_cost_sum = 32153.0
efficiency = 0.04618689581095596, stage_cost_sum = 66499.0
efficiency = 0.043440860215053764, stage_cost_sum = 161485.0
efficiency = 0.04129032258064516, stage_cost_sum = 47545.0
efficiency = 0.0439052570768342, stage_cost_sum = 121229.0
efficiency = 0.04430037817396002, stage_cost_sum = 132369.0
efficiency = 0.04393409885172242, stage_cost_sum = 142277.0
efficiency = 0.04121110176619008, stage_cost_sum = 76701.0
efficiency = 0.033475349969567865, stage_cost_sum = 85907.0
efficiency = 0.038088642659279776, stage_cost_sum = 85306.0
efficiency = 0.04337899543378995, stage_cost_sum = 212664.0
efficiency = 0.041406693136698806, stage_cost_sum = 115367.0
efficiency = 0.044600073719130114, stage_cost_sum = 194297.0
efficiency = 0.038880248833592534, stage_cost_sum = 36607.0
efficiency = 0.041951219512195125, stage_cost_sum = 66205.0
efficiency = 0.044064748201438846, stage_cost_sum = 77178.0
efficiency = 0.04520654715510522, stage_cost_sum = 92297.0
efficiency = 0.03699284009546539, stage_cost_sum = 46472.0
efficiency = 0.04580606781677573, stage_cost_sum = 249978.0
efficiency = 0.03349282296650718, stage_cost_sum = 43044.0
efficiency = 0.04262295081967213, stage_cost_sum = 37250.0
efficiency = 0.04276146316331788, stage_cost_sum = 129889.0
efficiency = 0.03895004233700254, stage_cost_sum = 71079.0
efficiency = 0.04725168756027001, stage_cost_sum = 73453.0
efficiency = 0.03278688524590164, stage_cost_sum = 31349.0
efficiency = 0.03985374771480804, stage_cost_sum = 173955.0
efficiency = 0.0392156862745098, stage_cost_sum = 37997.0
efficiency = 0.039579158316633264, stage_cost_sum = 126194.0
efficiency = 0.04036144578313253, stage_cost_sum = 106010.0
efficiency = 0.03480220330495744, stage_cost_sum = 223396.0
efficiency = 0.046134663341645885, stage_cost_sum = 57568.0
efficiency = 0.03577131906739061, stage_cost_sum = 176189.0
efficiency = 0.044064748201438846, stage_cost_sum = 76778.0
efficiency = 0.04833333333333333, stage_cost_sum = 42690.0
efficiency = 0.03702410059378274, stage_cost_sum = 166797.0
efficiency = 0.04630611523506539, stage_cost_sum = 211881.0
