efficiency = 0.0055147058823529415, stage_cost_sum = -3508.0
efficiency = 0.004576659038901602, stage_cost_sum = -10405.0
efficiency = 0.0, stage_cost_sum = -3206.0
efficiency = 0.008695652173913044, stage_cost_sum = -4204.0
efficiency = 0.011152416356877323, stage_cost_sum = -3233.0
efficiency = 0.005988023952095809, stage_cost_sum = -2310.0
efficiency = 0.007677543186180422, stage_cost_sum = -1985.0
efficiency = 0.00510204081632653, stage_cost_sum = -7548.0
efficiency = 0.0045351473922902496, stage_cost_sum = -13406.0
efficiency = 0.004761904761904762, stage_cost_sum = -4195.0
efficiency = 0.009900990099009901, stage_cost_sum = -3087.0
efficiency = 0.005917159763313609, stage_cost_sum = -7467.0
efficiency = 0.01020408163265306, stage_cost_sum = -4170.0
efficiency = 0.0045351473922902496, stage_cost_sum = -5414.0
efficiency = 0.006944444444444444, stage_cost_sum = -3263.0
efficiency = 0.005385996409335727, stage_cost_sum = -2522.0
efficiency = 0.004608294930875576, stage_cost_sum = -3409.0
efficiency = 0.009708737864077669, stage_cost_sum = -3181.0
efficiency = 0.004132231404958678, stage_cost_sum = -1230.0
efficiency = 0.002638522427440633, stage_cost_sum = -10358.0
efficiency = 0.013888888888888888, stage_cost_sum = -3119.0
efficiency = 0.007177033492822967, stage_cost_sum = -7378.0
efficiency = 0.011764705882352941, stage_cost_sum = -4144.0
efficiency = 0.0072992700729927005, stage_cost_sum = -3375.0
