efficiency = 0.03257575757575758, stage_cost_sum = 67510.0
efficiency = 0.03949044585987261, stage_cost_sum = 47925.0
efficiency = 0.03498293515358362, stage_cost_sum = 131876.0
efficiency = 0.036741214057507986, stage_cost_sum = 33204.0
efficiency = 0.03580562659846547, stage_cost_sum = 181392.0
efficiency = 0.02406015037593985, stage_cost_sum = 23095.0
efficiency = 0.032741398446170925, stage_cost_sum = 91788.0
efficiency = 0.029163021289005542, stage_cost_sum = 160971.0
efficiency = 0.0319320009189065, stage_cost_sum = 224637.0
efficiency = 0.03534985422740525, stage_cost_sum = 156626.0
efficiency = 0.02133850630455868, stage_cost_sum = 32789.0
efficiency = 0.034482758620689655, stage_cost_sum = 48211.0
efficiency = 0.028871829105473965, stage_cost_sum = 278938.0
efficiency = 0.03504482477587612, stage_cost_sum = 67203.0
efficiency = 0.03351698806244261, stage_cost_sum = 116352.0
efficiency = 0.018741633199464525, stage_cost_sum = 18193.0
efficiency = 0.030972259628332884, stage_cost_sum = 185637.0
efficiency = 0.029087261785356068, stage_cost_sum = 234265.0
efficiency = 0.030224075039082855, stage_cost_sum = 91061.0
efficiency = 0.029318036966220522, stage_cost_sum = 72491.0
efficiency = 0.02948525737131434, stage_cost_sum = 91989.0
efficiency = 0.023304203079483977, stage_cost_sum = 86757.0
efficiency = 0.030429927414852037, stage_cost_sum = 173508.0
efficiency = 0.030589825925299984, stage_cost_sum = 294093.0
efficiency = 0.034796682176815696, stage_cost_sum = 279177.0
efficiency = 0.037760416666666664, stage_cost_sum = 42522.0
efficiency = 0.0413589364844904, stage_cost_sum = 43403.0
efficiency = 0.029423619508262798, stage_cost_sum = 116449.0
efficiency = 0.026137065239761267, stage_cost_sum = 204611.0
efficiency = 0.027548209366391185, stage_cost_sum = 109359.0
efficiency = 0.03860759493670886, stage_cost_sum = 97430.0
efficiency = 0.02857142857142857, stage_cost_sum = 134475.0
efficiency = 0.03382554945054945, stage_cost_sum = 318146.0
efficiency = 0.027574563871693866, stage_cost_sum = 76513.0
efficiency = 0.029783761729906162, stage_cost_sum = 116079.0
efficiency = 0.027743373792420114, stage_cost_sum = 179283.0
efficiency = 0.03327228327228327, stage_cost_sum = 175814.0
efficiency = 0.027709054923305294, stage_cost_sum = 180678.0
efficiency = 0.03388888888888889, stage_cost_sum = 195620.0
efficiency = 0.035932446999640676, stage_cost_sum = 160817.0
efficiency = 0.03372681281618887, stage_cost_sum = 62414.0
efficiency = 0.03043560966330607, stage_cost_sum = 257943.0
efficiency = 0.028862478777589132, stage_cost_sum = 135705.0
efficiency = 0.03334776959722824, stage_cost_sum = 122261.0
efficiency = 0.03683640303358613, stage_cost_sum = 107234.0
efficiency = 0.03455723542116631, stage_cost_sum = 181879.0
efficiency = 0.0348968105065666, stage_cost_sum = 299730.0
efficiency = 0.023391812865497075, stage_cost_sum = 81897.0
efficiency = 0.03157457415870378, stage_cost_sum = 120353.0
efficiency = 0.026513652552433715, stage_cost_sum = 106543.0
efficiency = 0.022982362373062535, stage_cost_sum = 66359.0
efficiency = 0.03471882640586797, stage_cost_sum = 112265.0
efficiency = 0.03536585365853658, stage_cost_sum = 91340.0
efficiency = 0.02886085626911315, stage_cost_sum = 244078.0
efficiency = 0.01960059171597633, stage_cost_sum = 80626.0
efficiency = 0.023237179487179488, stage_cost_sum = 91284.0
efficiency = 0.030413625304136254, stage_cost_sum = 38228.0
efficiency = 0.019230769230769232, stage_cost_sum = 27802.0
efficiency = 0.03462050599201065, stage_cost_sum = 81618.0
efficiency = 0.030379041248606464, stage_cost_sum = 176102.0
efficiency = 0.037091988130563795, stage_cost_sum = 38376.0
efficiency = 0.030254777070063694, stage_cost_sum = 180172.0
efficiency = 0.03164556962025317, stage_cost_sum = 160440.0
efficiency = 0.030228603816361232, stage_cost_sum = 259507.0
efficiency = 0.026546517291768143, stage_cost_sum = 172184.0
efficiency = 0.03909590714722053, stage_cost_sum = 102203.0
