[(1, 1), 0, 1, 1, 1, 1, 1, 1, 1, 1]-->(1, 0)
[(2, 1), 1, 1, 1, 1, 1, 1, 1, 1, 1]-->(-1, 0)
[(3, 1), 1, 1, 1, 1, 1, 1, 1, 1, 1]-->(-1, 0)
[(4, 1), 1, 1, 1, 1, 1, 1, 1, 1, 1]-->(-1, 0)
[(6, 1), 1, 1, 1, 1, 1, 1, 1, 1, 1]-->(1, 0)
[(7, 1), 1, 1, 1, 1, 1, 1, 1, 1, 1]-->(1, 0)
[(8, 1), 1, 1, 1, 1, 1, 1, 1, 1, 1]-->(1, 0)
[(9, 1), 1, 0, 1, 1, 1, 1, 1, 1, 1]-->(0, 1)
[(11, 1), 1, 1, 1, 1, 1, 1, 1, 1, 1]-->(1, 0)
[(12, 1), 1, 1, 1, 1, 1, 1, 1, 1, 1]-->(1, 0)
[(13, 1), 1, 1, 1, 1, 1, 1, 1, 1, 1]-->(1, 0)
[(14, 1), 1, 1, 0, 1, 1, 1, 1, 1, 1]-->(0, 1)
[(1, 2), 1, 1, 1, 1, 1, 1, 1, 1, 1]-->(0, -1)
[(4, 2), 1, 1, 1, 1, 1, 1, 1, 1, 1]-->(0, 1)
[(6, 2), 1, 1, 1, 1, 1, 1, 1, 1, 1]-->(0, -1)
[(7, 2), 1, 1, 1, 1, 1, 1, 1, 1, 1]-->(0, -1)
[(8, 2), 1, 1, 1, 1, 1, 1, 1, 1, 1]-->(0, -1)
[(9, 2), 1, 1, 1, 1, 1, 1, 1, 1, 1]-->(0, -1)
[(11, 2), 1, 1, 1, 1, 1, 1, 1, 1, 1]-->(0, -1)
[(14, 2), 1, 1, 1, 1, 1, 1, 1, 1, 1]-->(0, -1)
[(1, 3), 1, 1, 1, 1, 1, 1, 1, 1, 1]-->(0, -1)
[(3, 3), 1, 1, 1, 1, 1, 1, 1, 1, 1]-->(1, 0)
[(4, 3), 1, 1, 1, 0, 1, 1, 1, 1, 1]-->(0, -1)
[(5, 3), 1, 1, 1, 1, 1, 1, 1, 1, 1]-->(-1, 0)
[(6, 3), 1, 1, 1, 1, 1, 1, 1, 1, 1]-->(-1, 0)
[(7, 3), 1, 1, 1, 1, 1, 1, 1, 1, 1]-->(0, -1)
[(8, 3), 1, 1, 1, 1, 1, 1, 1, 1, 1]-->(0, -1)
[(9, 3), 1, 1, 1, 1, 1, 1, 1, 1, 1]-->(0, -1)
[(10, 3), 1, 1, 1, 1, 1, 1, 1, 1, 1]-->(-1, 0)
[(11, 3), 1, 1, 1, 1, 1, 1, 1, 1, 1]-->(-1, 0)
[(12, 3), 1, 1, 1, 1, 1, 1, 1, 1, 1]-->(-1, 0)
[(14, 3), 1, 1, 1, 1, 1, 1, 1, 1, 1]-->(0, -1)
[(1, 4), 1, 1, 1, 1, 1, 1, 1, 1, 1]-->(0, -1)
