efficiency = 0.095, stage_cost_sum = -50750.0
efficiency = 0.07866666666666666, stage_cost_sum = -41472
efficiency = 0.07833333333333334, stage_cost_sum = -40890.0
efficiency = 0.07883333333333334, stage_cost_sum = -41233.0
efficiency = 0.08066666666666666, stage_cost_sum = -42244.0
efficiency = 0.0845, stage_cost_sum = -45007
efficiency = 0.0795, stage_cost_sum = -41817.0
efficiency = 0.08466666666666667, stage_cost_sum = -45008
efficiency = 0.07483333333333334, stage_cost_sum = -38949
efficiency = 0.086, stage_cost_sum = -45976.0
efficiency = 0.09066666666666667, stage_cost_sum = -48544
efficiency = 0.08733333333333333, stage_cost_sum = -46524
efficiency = 0.08216666666666667, stage_cost_sum = -43333.0
efficiency = 0.08333333333333333, stage_cost_sum = -44000
efficiency = 0.08316666666666667, stage_cost_sum = -43999
efficiency = 0.07533333333333334, stage_cost_sum = -39212.0
efficiency = 0.08666666666666667, stage_cost_sum = -46020
efficiency = 0.07783333333333334, stage_cost_sum = -40807.0
efficiency = 0.07916666666666666, stage_cost_sum = -41475
efficiency = 0.08583333333333333, stage_cost_sum = -45515
efficiency = 0.077, stage_cost_sum = -40422.0
efficiency = 0.07583333333333334, stage_cost_sum = -39455
efficiency = 0.07233333333333333, stage_cost_sum = -37434
efficiency = 0.08916666666666667, stage_cost_sum = -47335.0
efficiency = 0.08333333333333333, stage_cost_sum = -44000
efficiency = 0.08383333333333333, stage_cost_sum = -44503
efficiency = 0.0865, stage_cost_sum = -45819.0
efficiency = 0.08583333333333333, stage_cost_sum = -45195.0
efficiency = 0.08733333333333333, stage_cost_sum = -46524
efficiency = 0.08233333333333333, stage_cost_sum = -43494
efficiency = 0.08083333333333333, stage_cost_sum = -42445.0
efficiency = 0.0765, stage_cost_sum = -39959
efficiency = 0.07416666666666667, stage_cost_sum = -38445
efficiency = 0.0765, stage_cost_sum = -39759.0
efficiency = 0.08816666666666667, stage_cost_sum = -47029
efficiency = 0.08083333333333333, stage_cost_sum = -42485
efficiency = 0.074, stage_cost_sum = -38404.0
efficiency = 0.0845, stage_cost_sum = -44887.0
efficiency = 0.08333333333333333, stage_cost_sum = -43960.0
efficiency = 0.08333333333333333, stage_cost_sum = -44000
efficiency = 0.08783333333333333, stage_cost_sum = -46867.0
efficiency = 0.08316666666666667, stage_cost_sum = -43439.0
efficiency = 0.0855, stage_cost_sum = -45473.0
efficiency = 0.0805, stage_cost_sum = -42403.0
efficiency = 0.0815, stage_cost_sum = -42389.0
efficiency = 0.08066666666666666, stage_cost_sum = -42204.0
efficiency = 0.08416666666666667, stage_cost_sum = -44385.0
efficiency = 0.07666666666666666, stage_cost_sum = -39680.0
efficiency = 0.07816666666666666, stage_cost_sum = -40929.0
efficiency = 0.0915, stage_cost_sum = -48969.0
efficiency = 0.08466666666666667, stage_cost_sum = -44728.0
efficiency = 0.07066666666666667, stage_cost_sum = -36184.0
efficiency = 0.075, stage_cost_sum = -38950
efficiency = 0.08816666666666667, stage_cost_sum = -47029
efficiency = 0.08416666666666667, stage_cost_sum = -44385.0
efficiency = 0.08633333333333333, stage_cost_sum = -45898.0
efficiency = 0.07966666666666666, stage_cost_sum = -41818.0
efficiency = 0.08066666666666666, stage_cost_sum = -42484
efficiency = 0.08266666666666667, stage_cost_sum = -43836.0
efficiency = 0.0895, stage_cost_sum = -48037
efficiency = 0.07683333333333334, stage_cost_sum = -40421.0
efficiency = 0.07983333333333334, stage_cost_sum = -41939.0
efficiency = 0.07983333333333334, stage_cost_sum = -41979
efficiency = 0.08733333333333333, stage_cost_sum = -46524
efficiency = 0.0775, stage_cost_sum = -40385.0
efficiency = 0.0865, stage_cost_sum = -45819.0
efficiency = 0.0775, stage_cost_sum = -40425.0
efficiency = 0.08333333333333333, stage_cost_sum = -44000
efficiency = 0.09583333333333334, stage_cost_sum = -51295.0
efficiency = 0.08233333333333333, stage_cost_sum = -43494
efficiency = 0.07783333333333334, stage_cost_sum = -40887.0
efficiency = 0.07233333333333333, stage_cost_sum = -37274.0
efficiency = 0.08716666666666667, stage_cost_sum = -46523
efficiency = 0.08333333333333333, stage_cost_sum = -43880.0
efficiency = 0.08316666666666667, stage_cost_sum = -43959.0
efficiency = 0.09316666666666666, stage_cost_sum = -50019.0
efficiency = 0.09666666666666666, stage_cost_sum = -52000.0
efficiency = 0.08383333333333333, stage_cost_sum = -44223.0
efficiency = 0.0815, stage_cost_sum = -42989
efficiency = 0.08283333333333333, stage_cost_sum = -43877.0
efficiency = 0.08733333333333333, stage_cost_sum = -46364.0
efficiency = 0.08966666666666667, stage_cost_sum = -47998.0
efficiency = 0.07583333333333334, stage_cost_sum = -39375.0
efficiency = 0.08233333333333333, stage_cost_sum = -43214.0
efficiency = 0.081, stage_cost_sum = -42946.0
efficiency = 0.0865, stage_cost_sum = -46019
efficiency = 0.08983333333333333, stage_cost_sum = -48039
efficiency = 0.0915, stage_cost_sum = -48889.0
efficiency = 0.08116666666666666, stage_cost_sum = -42627.0
efficiency = 0.08566666666666667, stage_cost_sum = -45514
efficiency = 0.09066666666666667, stage_cost_sum = -48344.0
efficiency = 0.08416666666666667, stage_cost_sum = -44465.0
efficiency = 0.075, stage_cost_sum = -38670.0
efficiency = 0.08216666666666667, stage_cost_sum = -43333.0
efficiency = 0.08566666666666667, stage_cost_sum = -45274.0
efficiency = 0.0805, stage_cost_sum = -42443.0
efficiency = 0.08466666666666667, stage_cost_sum = -45008
efficiency = 0.0815, stage_cost_sum = -42909.0
efficiency = 0.085, stage_cost_sum = -44930.0
efficiency = 0.08566666666666667, stage_cost_sum = -45234.0
