efficiency = 0.07033333333333333, stage_cost_sum = 29738.0
efficiency = 0.09, stage_cost_sum = -32440.0
efficiency = 0.09166666666666666, stage_cost_sum = -25770.0
efficiency = 0.08183333333333333, stage_cost_sum = -1211.0
efficiency = 0.104, stage_cost_sum = -54344.0
efficiency = 0.0725, stage_cost_sum = 26365.0
efficiency = 0.0865, stage_cost_sum = 11221.0
efficiency = 0.1045, stage_cost_sum = -55287.0
efficiency = 0.07483333333333334, stage_cost_sum = 22611.0
efficiency = 0.0865, stage_cost_sum = -20419.0
efficiency = 0.09133333333333334, stage_cost_sum = -30368.0
efficiency = 0.07416666666666667, stage_cost_sum = 7755.0
efficiency = 0.08816666666666667, stage_cost_sum = -5469.0
efficiency = 0.08716666666666667, stage_cost_sum = -24003.0
efficiency = 0.074, stage_cost_sum = 28476.0
efficiency = 0.07283333333333333, stage_cost_sum = 27863.0
efficiency = 0.08716666666666667, stage_cost_sum = -16563.0
efficiency = 0.08666666666666667, stage_cost_sum = -25740.0
efficiency = 0.08166666666666667, stage_cost_sum = -3510.0
efficiency = 0.07333333333333333, stage_cost_sum = 37980.0
efficiency = 0.09866666666666667, stage_cost_sum = -41392.0
efficiency = 0.0865, stage_cost_sum = -9579.0
efficiency = 0.0835, stage_cost_sum = 2939.0
efficiency = 0.08916666666666667, stage_cost_sum = -14655.0
efficiency = 0.06666666666666667, stage_cost_sum = 43220.0
efficiency = 0.08583333333333333, stage_cost_sum = -15435.0
efficiency = 0.10083333333333333, stage_cost_sum = -38965.0
efficiency = 0.08083333333333333, stage_cost_sum = 4715.0
efficiency = 0.06933333333333333, stage_cost_sum = 29124.0
efficiency = 0.1005, stage_cost_sum = -54603
efficiency = 0.08466666666666667, stage_cost_sum = -17928.0
efficiency = 0.0645, stage_cost_sum = 49113.0
efficiency = 0.08833333333333333, stage_cost_sum = -27630.0
efficiency = 0.07616666666666666, stage_cost_sum = 7123.0
efficiency = 0.08733333333333333, stage_cost_sum = -6924.0
efficiency = 0.09283333333333334, stage_cost_sum = -41897.0
efficiency = 0.0945, stage_cost_sum = -36867.0
efficiency = 0.0825, stage_cost_sum = -6935.0
efficiency = 0.07066666666666667, stage_cost_sum = 21856.0
efficiency = 0.06733333333333333, stage_cost_sum = 52476.0
efficiency = 0.0745, stage_cost_sum = 21493.0
efficiency = 0.08133333333333333, stage_cost_sum = 4532.0
efficiency = 0.09333333333333334, stage_cost_sum = -29140.0
efficiency = 0.0765, stage_cost_sum = 18841.0
efficiency = 0.069, stage_cost_sum = 37666.0
efficiency = 0.07566666666666666, stage_cost_sum = 12066.0
efficiency = 0.08116666666666666, stage_cost_sum = 3213.0
efficiency = 0.08333333333333333, stage_cost_sum = -5440.0
efficiency = 0.07333333333333333, stage_cost_sum = 24220.0
efficiency = 0.0575, stage_cost_sum = 59295.0
efficiency = 0.088, stage_cost_sum = -22708.0
efficiency = 0.106, stage_cost_sum = -53696.0
efficiency = 0.08566666666666667, stage_cost_sum = -7114.0
efficiency = 0.08966666666666667, stage_cost_sum = -22038.0
efficiency = 0.098, stage_cost_sum = -46368.0
efficiency = 0.09766666666666667, stage_cost_sum = -44326.0
efficiency = 0.08233333333333333, stage_cost_sum = 26.0
efficiency = 0.07066666666666667, stage_cost_sum = 17736.0
efficiency = 0.07716666666666666, stage_cost_sum = 4857.0
efficiency = 0.08733333333333333, stage_cost_sum = -30524.0
efficiency = 0.07433333333333333, stage_cost_sum = 24974.0
efficiency = 0.08383333333333333, stage_cost_sum = -6543.0
efficiency = 0.075, stage_cost_sum = 22610.0
efficiency = 0.09583333333333334, stage_cost_sum = -33455.0
efficiency = 0.08283333333333333, stage_cost_sum = -6757.0
efficiency = 0.09, stage_cost_sum = -20160.0
efficiency = 0.085, stage_cost_sum = -9490.0
efficiency = 0.08, stage_cost_sum = 9740.0
efficiency = 0.0895, stage_cost_sum = -31037.0
efficiency = 0.07816666666666666, stage_cost_sum = 5791.0
efficiency = 0.07566666666666666, stage_cost_sum = 23786.0
efficiency = 0.09533333333333334, stage_cost_sum = -35212.0
efficiency = 0.08, stage_cost_sum = 1620.0
efficiency = 0.08716666666666667, stage_cost_sum = -17723.0
efficiency = 0.0875, stage_cost_sum = -19845.0
efficiency = 0.0855, stage_cost_sum = -12033.0
efficiency = 0.060833333333333336, stage_cost_sum = 41155.0
efficiency = 0.06483333333333334, stage_cost_sum = 49791.0
efficiency = 0.05333333333333334, stage_cost_sum = 72980.0
efficiency = 0.09083333333333334, stage_cost_sum = -31585.0
efficiency = 0.07566666666666666, stage_cost_sum = 10546.0
efficiency = 0.08266666666666667, stage_cost_sum = -6076.0
efficiency = 0.08266666666666667, stage_cost_sum = -2236.0
efficiency = 0.09, stage_cost_sum = -25360.0
efficiency = 0.08583333333333333, stage_cost_sum = -14075.0
efficiency = 0.0905, stage_cost_sum = -27463.0
efficiency = 0.08316666666666667, stage_cost_sum = 3521.0
efficiency = 0.09583333333333334, stage_cost_sum = -29535.0
efficiency = 0.0975, stage_cost_sum = -44465.0
efficiency = 0.10433333333333333, stage_cost_sum = -56726.0
efficiency = 0.08183333333333333, stage_cost_sum = -1971.0
efficiency = 0.0805, stage_cost_sum = -7683.0
efficiency = 0.096, stage_cost_sum = -29236.0
efficiency = 0.08166666666666667, stage_cost_sum = -1950.0
efficiency = 0.08283333333333333, stage_cost_sum = 4963.0
efficiency = 0.08333333333333333, stage_cost_sum = -8560.0
efficiency = 0.06316666666666666, stage_cost_sum = 48801.0
efficiency = 0.08966666666666667, stage_cost_sum = -18158.0
efficiency = 0.1, stage_cost_sum = -48700.0
efficiency = 0.06616666666666667, stage_cost_sum = 54023.0
