efficiency = 0.04716666666666667, stage_cost_sum = 125617.0
efficiency = 0.05, stage_cost_sum = 124527.0
efficiency = 0.06116666666666667, stage_cost_sum = 70661.0
efficiency = 0.08066666666666666, stage_cost_sum = 7255.0
efficiency = 0.008333333333333333, stage_cost_sum = 261893.0
efficiency = 0.034166666666666665, stage_cost_sum = 174280.0
efficiency = 0.0033333333333333335, stage_cost_sum = 288565.0
efficiency = 0.034833333333333334, stage_cost_sum = 166717.0
efficiency = 0.021666666666666667, stage_cost_sum = 217391.0
efficiency = 0.006666666666666667, stage_cost_sum = 271927.0
efficiency = 0.015833333333333335, stage_cost_sum = 239574.0
efficiency = 0.0075, stage_cost_sum = 272398.0
efficiency = 0.005, stage_cost_sum = 281765.0
efficiency = 0.009166666666666667, stage_cost_sum = 263050.0
efficiency = 0.0075, stage_cost_sum = 269654.0
efficiency = 0.0525, stage_cost_sum = 73020.0
efficiency = 0.021, stage_cost_sum = 230776.0
efficiency = 0.015833333333333335, stage_cost_sum = 240848.0
efficiency = 0.005, stage_cost_sum = 283627.0
efficiency = 0.04416666666666667, stage_cost_sum = 135979.0
efficiency = 0.004166666666666667, stage_cost_sum = 278305.0
efficiency = 0.0625, stage_cost_sum = 63237.0
efficiency = 0.008333333333333333, stage_cost_sum = 268851.0
efficiency = 0.0075, stage_cost_sum = 274358.0
efficiency = 0.009166666666666667, stage_cost_sum = 260012.0
efficiency = 0.0016666666666666668, stage_cost_sum = 292817.0
efficiency = 0.018333333333333333, stage_cost_sum = 229129.0
efficiency = 0.05, stage_cost_sum = 119137.0
efficiency = 0.024166666666666666, stage_cost_sum = 212826.0
efficiency = 0.021666666666666667, stage_cost_sum = 217440.0
efficiency = 0.06166666666666667, stage_cost_sum = 72419.0
efficiency = 0.019166666666666665, stage_cost_sum = 223034.0
efficiency = 0.0225, stage_cost_sum = 222174.0
efficiency = 0.03, stage_cost_sum = 176139.0
efficiency = 0.015833333333333335, stage_cost_sum = 229872.0
efficiency = 0.0025, stage_cost_sum = 291426.0
efficiency = 0.0025, stage_cost_sum = 290250.0
efficiency = 0.015, stage_cost_sum = 230381.0
efficiency = 0.029166666666666667, stage_cost_sum = 191936.0
efficiency = 0.009166666666666667, stage_cost_sum = 261972.0
efficiency = 0.0775, stage_cost_sum = -5852.0
efficiency = 0.03, stage_cost_sum = 188389.0
efficiency = 0.0625, stage_cost_sum = 62208.0
efficiency = 0.07666666666666666, stage_cost_sum = 26801.0
efficiency = 0.0275, stage_cost_sum = 192856.0
efficiency = 0.03, stage_cost_sum = 197013.0
efficiency = 0.023333333333333334, stage_cost_sum = 213139.0
efficiency = 0.025833333333333333, stage_cost_sum = 193874.0
efficiency = 0.035, stage_cost_sum = 168479.0
efficiency = 0.02, stage_cost_sum = 224093.0
efficiency = 0.02, stage_cost_sum = 216939.0
efficiency = 0.0275, stage_cost_sum = 195208.0
efficiency = 0.012, stage_cost_sum = 254993.0
efficiency = 0.060833333333333336, stage_cost_sum = 65774.0
efficiency = 0.0425, stage_cost_sum = 129598.0
efficiency = 0.009166666666666667, stage_cost_sum = 268734.0
efficiency = 0.024166666666666666, stage_cost_sum = 213414.0
efficiency = 0.049166666666666664, stage_cost_sum = 96322.0
efficiency = 0.009166666666666667, stage_cost_sum = 260894.0
efficiency = 0.02, stage_cost_sum = 221055.0
efficiency = 0.0033333333333333335, stage_cost_sum = 285625.0
efficiency = 0.010833333333333334, stage_cost_sum = 259386.0
efficiency = 0.0075, stage_cost_sum = 270340.0
efficiency = 0.025833333333333333, stage_cost_sum = 206957.0
efficiency = 0.055, stage_cost_sum = 73698.0
efficiency = 0.050833333333333335, stage_cost_sum = 116668.0
efficiency = 0.024166666666666666, stage_cost_sum = 205966.0
efficiency = 0.015833333333333335, stage_cost_sum = 239966.0
efficiency = 0.0175, stage_cost_sum = 234832.0
efficiency = 0.029166666666666667, stage_cost_sum = 196052.0
efficiency = 0.025833333333333333, stage_cost_sum = 212298.0
efficiency = 0.008333333333333333, stage_cost_sum = 268165.0
efficiency = 0.01, stage_cost_sum = 263129.0
efficiency = 0.0725, stage_cost_sum = 31845.0
efficiency = 0.015, stage_cost_sum = 249589.0
efficiency = 0.023333333333333334, stage_cost_sum = 218431.0
efficiency = 0.050833333333333335, stage_cost_sum = 115394.0
efficiency = 0.02666666666666667, stage_cost_sum = 202773.0
efficiency = 0.0625, stage_cost_sum = 71077.0
efficiency = 0.04583333333333333, stage_cost_sum = 133736.0
efficiency = 0.0375, stage_cost_sum = 170578.0
efficiency = 0.025, stage_cost_sum = 207025.0
efficiency = 0.0125, stage_cost_sum = 253958.0
efficiency = 0.0425, stage_cost_sum = 147238.0
efficiency = 0.006666666666666667, stage_cost_sum = 272613.0
efficiency = 0.005833333333333334, stage_cost_sum = 277238.0
efficiency = 0.010833333333333334, stage_cost_sum = 254388.0
efficiency = 0.013333333333333334, stage_cost_sum = 243453.0
efficiency = 0.0025, stage_cost_sum = 287310.0
efficiency = 0.0375, stage_cost_sum = 169598.0
efficiency = 0.005833333333333334, stage_cost_sum = 278708.0
efficiency = 0.025, stage_cost_sum = 198597.0
efficiency = 0.019166666666666665, stage_cost_sum = 221956.0
efficiency = 0.02666666666666667, stage_cost_sum = 199980.0
