efficiency = 0.066, stage_cost_sum = 56388.0
efficiency = 0.07066666666666667, stage_cost_sum = 37275.0
efficiency = 0.0525, stage_cost_sum = 111338.0
efficiency = 0.028333333333333332, stage_cost_sum = 190632.0
efficiency = 0.05333333333333334, stage_cost_sum = 98138.0
efficiency = 0.074, stage_cost_sum = 32838.0
efficiency = 0.08616666666666667, stage_cost_sum = -20314.0
efficiency = 0.07333333333333333, stage_cost_sum = 14382.0
efficiency = 0.03, stage_cost_sum = 191231.0
efficiency = 0.060833333333333336, stage_cost_sum = 71360.0
efficiency = 0.050333333333333334, stage_cost_sum = 118144.0
efficiency = 0.05583333333333333, stage_cost_sum = 87987.0
efficiency = 0.03666666666666667, stage_cost_sum = 160405.0
efficiency = 0.045, stage_cost_sum = 131501.0
efficiency = 0.03333333333333333, stage_cost_sum = 182041.0
efficiency = 0.05733333333333333, stage_cost_sum = 80356.0
efficiency = 0.093, stage_cost_sum = -20419.0
efficiency = 0.07366666666666667, stage_cost_sum = 24463.0
efficiency = 0.060333333333333336, stage_cost_sum = 73914.0
efficiency = 0.035833333333333335, stage_cost_sum = 165030.0
efficiency = 0.06516666666666666, stage_cost_sum = 63708.0
efficiency = 0.05333333333333334, stage_cost_sum = 98040.0
efficiency = 0.024166666666666666, stage_cost_sum = 211111.0
efficiency = 0.004166666666666667, stage_cost_sum = 280706.0
efficiency = 0.06783333333333333, stage_cost_sum = 53604.0
efficiency = 0.028333333333333332, stage_cost_sum = 195385.0
efficiency = 0.052, stage_cost_sum = 113402.0
efficiency = 0.07416666666666667, stage_cost_sum = 25731.0
efficiency = 0.068, stage_cost_sum = 56836.0
efficiency = 0.05483333333333333, stage_cost_sum = 95162.0
efficiency = 0.08616666666666667, stage_cost_sum = -11690.0
efficiency = 0.049166666666666664, stage_cost_sum = 118176.0
efficiency = 0.029166666666666667, stage_cost_sum = 191593.0
efficiency = 0.05333333333333334, stage_cost_sum = 109212.0
efficiency = 0.0255, stage_cost_sum = 189321.0
efficiency = 0.07083333333333333, stage_cost_sum = 34137.0
efficiency = 0.05733333333333333, stage_cost_sum = 86432.0
efficiency = 0.004166666666666667, stage_cost_sum = 286782.0
efficiency = 0.044833333333333336, stage_cost_sum = 129690.0
efficiency = 0.023333333333333334, stage_cost_sum = 215050.0
efficiency = 0.03, stage_cost_sum = 190643.0
efficiency = 0.025, stage_cost_sum = 216776.0
efficiency = 0.04066666666666666, stage_cost_sum = 156343.0
efficiency = 0.09666666666666666, stage_cost_sum = -42353.0
efficiency = 0.059166666666666666, stage_cost_sum = 70565.0
efficiency = 0.030833333333333334, stage_cost_sum = 196259.0
efficiency = 0.07616666666666666, stage_cost_sum = 22544.0
efficiency = 0.0365, stage_cost_sum = 152910.0
efficiency = 0.009166666666666667, stage_cost_sum = 268342.0
efficiency = 0.05333333333333334, stage_cost_sum = 95737.0
efficiency = 0.02, stage_cost_sum = 216351.0
efficiency = 0.028333333333333332, stage_cost_sum = 195189.0
efficiency = 0.0275, stage_cost_sum = 186682.0
efficiency = 0.08, stage_cost_sum = 9428.0
efficiency = 0.016666666666666666, stage_cost_sum = 236762.0
efficiency = 0.0033333333333333335, stage_cost_sum = 291113.0
efficiency = 0.037333333333333336, stage_cost_sum = 166513.0
efficiency = 0.010833333333333334, stage_cost_sum = 260954.0
efficiency = 0.08083333333333333, stage_cost_sum = -1420.0
efficiency = 0.034166666666666665, stage_cost_sum = 170164.0
efficiency = 0.025833333333333333, stage_cost_sum = 193090.0
efficiency = 0.03916666666666667, stage_cost_sum = 159956.0
efficiency = 0.0825, stage_cost_sum = -135.0
efficiency = 0.05416666666666667, stage_cost_sum = 103313.0
efficiency = 0.044333333333333336, stage_cost_sum = 143024.0
efficiency = 0.07083333333333333, stage_cost_sum = 35460.0
efficiency = 0.025833333333333333, stage_cost_sum = 200783.0
efficiency = 0.021166666666666667, stage_cost_sum = 223473.0
efficiency = 0.053, stage_cost_sum = 90155.0
efficiency = 0.06566666666666666, stage_cost_sum = 75413.0
efficiency = 0.05333333333333334, stage_cost_sum = 108330.0
efficiency = 0.015, stage_cost_sum = 245179.0
efficiency = 0.058833333333333335, stage_cost_sum = 69344.0
efficiency = 0.020833333333333332, stage_cost_sum = 224956.0
efficiency = 0.05, stage_cost_sum = 121979.0
efficiency = 0.0455, stage_cost_sum = 124136.0
efficiency = 0.031, stage_cost_sum = 167436.0
efficiency = 0.07216666666666667, stage_cost_sum = 32290.0
efficiency = 0.07816666666666666, stage_cost_sum = 8145.0
efficiency = 0.043, stage_cost_sum = 143156.0
efficiency = 0.09433333333333334, stage_cost_sum = -51519
efficiency = 0.03916666666666667, stage_cost_sum = 154664.0
efficiency = 0.025833333333333333, stage_cost_sum = 202400.0
efficiency = 0.050833333333333335, stage_cost_sum = 103732.0
efficiency = 0.06416666666666666, stage_cost_sum = 54428.0
efficiency = 0.06416666666666666, stage_cost_sum = 60357.0
efficiency = 0.0215, stage_cost_sum = 220284.0
efficiency = 0.06166666666666667, stage_cost_sum = 85061.0
efficiency = 0.06666666666666667, stage_cost_sum = 53244.0
efficiency = 0.050833333333333335, stage_cost_sum = 110053.0
efficiency = 0.05583333333333333, stage_cost_sum = 97836.0
efficiency = 0.043333333333333335, stage_cost_sum = 134871.0
efficiency = 0.0405, stage_cost_sum = 161931.0
efficiency = 0.06933333333333333, stage_cost_sum = 51902.0
efficiency = 0.049166666666666664, stage_cost_sum = 115040.0
efficiency = 0.03816666666666667, stage_cost_sum = 151353.0
efficiency = 0.0925, stage_cost_sum = -30694.0
efficiency = 0.06, stage_cost_sum = 84903.0
efficiency = 0.05583333333333333, stage_cost_sum = 73287.0
efficiency = 0.06333333333333334, stage_cost_sum = 60131.0
