efficiency = 0.059076923076923075, stage_cost_sum = -4146320
efficiency = 0.06294779938587512, stage_cost_sum = -1882570
efficiency = 0.05785920925747348, stage_cost_sum = -4683270
efficiency = 0.058529264632316155, stage_cost_sum = -1422180
efficiency = 0.0580188679245283, stage_cost_sum = -1521070
efficiency = 0.05632411067193676, stage_cost_sum = -431050
efficiency = 0.056888544891640865, stage_cost_sum = -1816880
efficiency = 0.06093528578176665, stage_cost_sum = -1621200
efficiency = 0.0553116769095698, stage_cost_sum = -529880
efficiency = 0.05417024935511608, stage_cost_sum = -529640
efficiency = 0.059001512859304085, stage_cost_sum = -798290
efficiency = 0.057803468208092484, stage_cost_sum = -991680
efficiency = 0.061128526645768025, stage_cost_sum = -778760
efficiency = 0.052904564315352696, stage_cost_sum = -331430
efficiency = 0.05920078934385792, stage_cost_sum = -1372000
efficiency = 0.05966850828729282, stage_cost_sum = -3057620
efficiency = 0.058823529411764705, stage_cost_sum = -381940
efficiency = 0.06260434056761269, stage_cost_sum = -729490
efficiency = 0.060534124629080116, stage_cost_sum = -1095110
efficiency = 0.059355568117580554, stage_cost_sum = -1224280
efficiency = 0.06039387308533917, stage_cost_sum = -1729690
efficiency = 0.06, stage_cost_sum = -687290
efficiency = 0.0592841163310962, stage_cost_sum = -1736220
efficiency = 0.06052215189873418, stage_cost_sum = -2377330
efficiency = 0.05625, stage_cost_sum = -530070
efficiency = 0.06589958158995816, stage_cost_sum = -891550
efficiency = 0.0634020618556701, stage_cost_sum = -1522870
efficiency = 0.05864342910975035, stage_cost_sum = -2882250
efficiency = 0.061619718309859156, stage_cost_sum = -1224930
efficiency = 0.05825242718446602, stage_cost_sum = -2460560
efficiency = 0.05850234009360374, stage_cost_sum = -728650
efficiency = 0.059850374064837904, stage_cost_sum = -283000
efficiency = 0.06103286384976526, stage_cost_sum = -134480
efficiency = 0.05817174515235457, stage_cost_sum = -530440
efficiency = 0.060215053763440864, stage_cost_sum = -2265120
efficiency = 0.059349074664964904, stage_cost_sum = -1026100
efficiency = 0.05752469494479954, stage_cost_sum = -1484500
efficiency = 0.058161350844277676, stage_cost_sum = -605970
efficiency = 0.059638150547241454, stage_cost_sum = -3899900
efficiency = 0.061224489795918366, stage_cost_sum = -1621300
efficiency = 0.057057057057057055, stage_cost_sum = -431180
efficiency = 0.06038262255878836, stage_cost_sum = -4495090
efficiency = 0.054635761589403975, stage_cost_sum = -579240
efficiency = 0.06086956521739131, stage_cost_sum = -3186180
efficiency = 0.06109324758842444, stage_cost_sum = -2315080
efficiency = 0.0574468085106383, stage_cost_sum = -381720
efficiency = 0.058187599364069954, stage_cost_sum = -2511820
efficiency = 0.05853401300755844, stage_cost_sum = -4888930
efficiency = 0.06371681415929203, stage_cost_sum = -1039960
efficiency = 0.06183017312448475, stage_cost_sum = -729340
efficiency = 0.06368715083798883, stage_cost_sum = -432220
efficiency = 0.0634469696969697, stage_cost_sum = -2811890
efficiency = 0.06110509209100758, stage_cost_sum = -4148770
efficiency = 0.06203331418724871, stage_cost_sum = -1634450
efficiency = 0.060810810810810814, stage_cost_sum = -1422930
efficiency = 0.058098591549295774, stage_cost_sum = -1404710
efficiency = 0.058279370952821465, stage_cost_sum = -530460
efficiency = 0.06280193236714976, stage_cost_sum = -1063700
efficiency = 0.05886970172684458, stage_cost_sum = -728730
efficiency = 0.062146892655367235, stage_cost_sum = -500740
