efficiency = 0.053019145802650956, stage_cost_sum = -443870
efficiency = 0.05962800875273523, stage_cost_sum = -5230680
efficiency = 0.058959537572254334, stage_cost_sum = -1534460
efficiency = 0.06236323851203501, stage_cost_sum = -3257460
efficiency = 0.06393924546790788, stage_cost_sum = -3843750
efficiency = 0.06155143338954469, stage_cost_sum = -3468130
efficiency = 0.059674502712477394, stage_cost_sum = -1485120
efficiency = 0.06133658834299664, stage_cost_sum = -2770820
efficiency = 0.06048387096774194, stage_cost_sum = -3071070
efficiency = 0.06086956521739131, stage_cost_sum = -1571640
efficiency = 0.0673076923076923, stage_cost_sum = 175160
efficiency = 0.060849598163030996, stage_cost_sum = -2256690
efficiency = 0.06173780487804878, stage_cost_sum = -428630
efficiency = 0.060114503816793896, stage_cost_sum = -890630
efficiency = 0.06236842105263158, stage_cost_sum = -3046330
efficiency = 0.06315789473684211, stage_cost_sum = -1390840
efficiency = 0.061224489795918366, stage_cost_sum = -2809080
efficiency = 0.05794556628621598, stage_cost_sum = -579930
efficiency = 0.061224489795918366, stage_cost_sum = -2017780
efficiency = 0.06256206554121152, stage_cost_sum = -891040
efficiency = 0.061921143159566025, stage_cost_sum = -3156430
efficiency = 0.06348673160900235, stage_cost_sum = -2973440
efficiency = 0.06254695717505634, stage_cost_sum = -5352370
efficiency = 0.05822267620020429, stage_cost_sum = -1732380
efficiency = 0.0621481648277415, stage_cost_sum = -4090410
efficiency = 0.06224818694601128, stage_cost_sum = -4935580
efficiency = 0.06195571037571535, stage_cost_sum = -3884060
efficiency = 0.061855670103092786, stage_cost_sum = -643100
efficiency = 0.06042654028436019, stage_cost_sum = -692470
efficiency = 0.061224489795918366, stage_cost_sum = -2526300
efficiency = 0.05967814036656236, stage_cost_sum = -3979890
efficiency = 0.06326304106548279, stage_cost_sum = -432160
efficiency = 0.06035205364626991, stage_cost_sum = -4147350
efficiency = 0.06242774566473988, stage_cost_sum = -742310
efficiency = 0.05621301775147929, stage_cost_sum = -1371840
efficiency = 0.0625, stage_cost_sum = -1081980
efficiency = 0.05664263645726056, stage_cost_sum = -974440
efficiency = 0.05795454545454545, stage_cost_sum = -372270
efficiency = 0.06353591160220995, stage_cost_sum = -990350
efficiency = 0.05921052631578947, stage_cost_sum = -4166420
efficiency = 0.06098514464425332, stage_cost_sum = -778730
efficiency = 0.06210108676901846, stage_cost_sum = -5238350
efficiency = 0.06156184685540566, stage_cost_sum = -4623100
efficiency = 0.054616384915474644, stage_cost_sum = -183230
efficiency = 0.0606369946917109, stage_cost_sum = -4216280
efficiency = 0.06365809922295278, stage_cost_sum = -2970330
efficiency = 0.061391541609822645, stage_cost_sum = -2080320
efficiency = 0.06074876383329409, stage_cost_sum = -3832030
efficiency = 0.06012526096033403, stage_cost_sum = -2228510
efficiency = 0.06294642857142857, stage_cost_sum = -4130130
efficiency = 0.06014580801944107, stage_cost_sum = -1465260
efficiency = 0.06206896551724138, stage_cost_sum = -3613840
efficiency = 0.05687203791469194, stage_cost_sum = -840510
efficiency = 0.06027820710973725, stage_cost_sum = -1402770
efficiency = 0.061855670103092786, stage_cost_sum = -1752700
efficiency = 0.061946902654867256, stage_cost_sum = -878060
efficiency = 0.05816628327308577, stage_cost_sum = -2292800
efficiency = 0.05946481665014866, stage_cost_sum = -1072220
efficiency = 0.0598438855160451, stage_cost_sum = -1849440
efficiency = 0.060810810810810814, stage_cost_sum = -382240
efficiency = 0.059371362048894066, stage_cost_sum = -692320
efficiency = 0.06381118881118882, stage_cost_sum = -2669750
efficiency = 0.05932932072226999, stage_cost_sum = -3088710
efficiency = 0.05986984815618221, stage_cost_sum = -1949400
efficiency = 0.06175619170151174, stage_cost_sum = -2422450
efficiency = 0.06091370558375635, stage_cost_sum = -2342060
efficiency = 0.059490084985835696, stage_cost_sum = -2058830
efficiency = 0.061706783369803064, stage_cost_sum = -2159570
efficiency = 0.062261753494282084, stage_cost_sum = -2039020
efficiency = 0.06267645398080181, stage_cost_sum = -3098530
efficiency = 0.06105610561056106, stage_cost_sum = -1583780
efficiency = 0.059113300492610835, stage_cost_sum = -700980
efficiency = 0.0590318772136954, stage_cost_sum = -1967310
efficiency = 0.061773497177017606, stage_cost_sum = -2563210
efficiency = 0.059316956261234274, stage_cost_sum = -2560240
efficiency = 0.06119246861924686, stage_cost_sum = -4748980
efficiency = 0.06198347107438017, stage_cost_sum = -233710
efficiency = 0.06180105944673337, stage_cost_sum = -4334680
efficiency = 0.05807743658210948, stage_cost_sum = -926690
efficiency = 0.06296296296296296, stage_cost_sum = -2201530
