efficiency = 0.056209464328609175, stage_cost_sum = -3352490
efficiency = 0.05851063829787234, stage_cost_sum = -1124950
efficiency = 0.060453400503778336, stage_cost_sum = -679510
efficiency = 0.06298342541436464, stage_cost_sum = -432120
efficiency = 0.0598159509202454, stage_cost_sum = -3355000
efficiency = 0.05741626794258373, stage_cost_sum = -1471320
efficiency = 0.06025824964131994, stage_cost_sum = -183950
efficiency = 0.061946902654867256, stage_cost_sum = -184140
efficiency = 0.05757575757575758, stage_cost_sum = -411280
efficiency = 0.058762886597938144, stage_cost_sum = -431470
efficiency = 0.0580964153275649, stage_cost_sum = -3826540
efficiency = 0.061791967044284246, stage_cost_sum = -1472800
efficiency = 0.061855670103092786, stage_cost_sum = -1274560
efficiency = 0.058781617385108655, stage_cost_sum = -2214900
efficiency = 0.06037735849056604, stage_cost_sum = -1868770
efficiency = 0.05642633228840126, stage_cost_sum = -678660
efficiency = 0.05564924114671164, stage_cost_sum = -579460
efficiency = 0.05660377358490566, stage_cost_sum = -1025340
efficiency = 0.06139991813344249, stage_cost_sum = -4806200
efficiency = 0.061074918566775244, stage_cost_sum = -649230
efficiency = 0.057741659538066724, stage_cost_sum = -2078930
efficiency = 0.05848375451263538, stage_cost_sum = -827720
efficiency = 0.06164383561643835, stage_cost_sum = -233670
efficiency = 0.06074461136512083, stage_cost_sum = -1026460
efficiency = 0.05757307351638618, stage_cost_sum = -2709600
efficiency = 0.06220379146919431, stage_cost_sum = -1145130
efficiency = 0.05887064477372848, stage_cost_sum = -2277540
efficiency = 0.05515832482124617, stage_cost_sum = -381330
efficiency = 0.057534246575342465, stage_cost_sum = -877020
efficiency = 0.06063829787234042, stage_cost_sum = -431770
efficiency = 0.0609375, stage_cost_sum = -598810
efficiency = 0.056856187290969896, stage_cost_sum = -1173980
efficiency = 0.05899318300996329, stage_cost_sum = -3165850
efficiency = 0.059602649006622516, stage_cost_sum = -1125260
efficiency = 0.05888767720828789, stage_cost_sum = -381950
efficiency = 0.05804480651731161, stage_cost_sum = -351390
efficiency = 0.05572065378900446, stage_cost_sum = -728010
efficiency = 0.05766423357664233, stage_cost_sum = -3403070
efficiency = 0.05886792452830188, stage_cost_sum = -778270
efficiency = 0.06132075471698113, stage_cost_sum = -778800
efficiency = 0.06078747409624683, stage_cost_sum = -3851190
efficiency = 0.0625, stage_cost_sum = -742320
efficiency = 0.05412371134020619, stage_cost_sum = -529630
efficiency = 0.061933534743202415, stage_cost_sum = -1522410
efficiency = 0.056343906510851416, stage_cost_sum = -1718510
efficiency = 0.05968331303288672, stage_cost_sum = -1918040
efficiency = 0.059251559251559255, stage_cost_sum = -431550
efficiency = 0.061511423550087874, stage_cost_sum = -1224900
efficiency = 0.05795768169273229, stage_cost_sum = -530400
efficiency = 0.05904164289788933, stage_cost_sum = -2908610
efficiency = 0.06022304832713755, stage_cost_sum = -3403970
efficiency = 0.05654761904761905, stage_cost_sum = -1292000
efficiency = 0.0619074177356386, stage_cost_sum = -1324140
efficiency = 0.059495192307692304, stage_cost_sum = -1125230
efficiency = 0.05941845764854614, stage_cost_sum = -4027520
efficiency = 0.06090026478375993, stage_cost_sum = -1769860
efficiency = 0.05730786317192359, stage_cost_sum = -1619860
efficiency = 0.05403458213256484, stage_cost_sum = -727590
efficiency = 0.06072633459019647, stage_cost_sum = -4544930
efficiency = 0.058433734939759036, stage_cost_sum = -4295270
efficiency = 0.05996365838885524, stage_cost_sum = -1045400
efficiency = 0.05921052631578947, stage_cost_sum = -741840
efficiency = 0.05908683974932856, stage_cost_sum = -1670080
efficiency = 0.059286262471220263, stage_cost_sum = -4593250
efficiency = 0.061009817671809255, stage_cost_sum = -2364600
efficiency = 0.05976095617529881, stage_cost_sum = -1967620
efficiency = 0.05793780687397709, stage_cost_sum = -2412620
efficiency = 0.055232558139534885, stage_cost_sum = -430850
efficiency = 0.059154929577464786, stage_cost_sum = -183820
efficiency = 0.06302521008403361, stage_cost_sum = -977440
efficiency = 0.059433962264150944, stage_cost_sum = -530670
