efficiency = 0.05660377358490566, stage_cost_sum = 163140
efficiency = 0.056451612903225805, stage_cost_sum = 163150
efficiency = 0.06020066889632107, stage_cost_sum = -444680
efficiency = 0.052083333333333336, stage_cost_sum = 15040
efficiency = 0.057065217391304345, stage_cost_sum = 163110
efficiency = 0.05454545454545454, stage_cost_sum = -97560
efficiency = 0.059490084985835696, stage_cost_sum = 162960
efficiency = 0.05714285714285714, stage_cost_sum = 311680
efficiency = 0.05325443786982249, stage_cost_sum = 361320
efficiency = 0.037037037037037035, stage_cost_sum = 460540
efficiency = 0.06483300589390963, stage_cost_sum = -35680
efficiency = 0.05263157894736842, stage_cost_sum = 410820
efficiency = 0.05370843989769821, stage_cost_sum = 163340
efficiency = 0.05136986301369863, stage_cost_sum = 15120
efficiency = 0.0584070796460177, stage_cost_sum = -394960
efficiency = 0.060674157303370786, stage_cost_sum = 63780
efficiency = 0.06030150753768844, stage_cost_sum = 113360
efficiency = 0.05434782608695652, stage_cost_sum = 262290
efficiency = 0.057692307692307696, stage_cost_sum = 311660
efficiency = 0.0625, stage_cost_sum = 212360
efficiency = 0.05113636363636364, stage_cost_sum = 213000
efficiency = 0.05263157894736842, stage_cost_sum = 163420
efficiency = 0.06474820143884892, stage_cost_sum = 361020
efficiency = 0.056818181818181816, stage_cost_sum = 14560
efficiency = 0.057034220532319393, stage_cost_sum = 262160
efficiency = 0.060453400503778336, stage_cost_sum = 113350
efficiency = 0.057692307692307696, stage_cost_sum = 311660
efficiency = 0.06451612903225806, stage_cost_sum = 311440
efficiency = 0.06557377049180328, stage_cost_sum = -48430
efficiency = 0.0661764705882353, stage_cost_sum = 212200
efficiency = 0.0663265306122449, stage_cost_sum = 44920
efficiency = 0.05630026809651475, stage_cost_sum = 163160
efficiency = 0.05749128919860627, stage_cost_sum = -394870
efficiency = 0.06060606060606061, stage_cost_sum = 311560
efficiency = 0.05415162454873646, stage_cost_sum = 14820
