efficiency = 0.05964214711729622, stage_cost_sum = -481160
efficiency = 0.06051873198847262, stage_cost_sum = -183980
efficiency = 0.054140127388535034, stage_cost_sum = -1173080
efficiency = 0.05143805309734513, stage_cost_sum = -2917000
efficiency = 0.06233062330623306, stage_cost_sum = -630300
efficiency = 0.059283655825442566, stage_cost_sum = -4246440
efficiency = 0.061151791015238474, stage_cost_sum = -4594840
efficiency = 0.060130010834236185, stage_cost_sum = -1203670
efficiency = 0.061514195583596214, stage_cost_sum = -3820480
efficiency = 0.05591397849462366, stage_cost_sum = -777570
efficiency = 0.06098741529525654, stage_cost_sum = -1571660
efficiency = 0.06040268456375839, stage_cost_sum = -679500
efficiency = 0.05913692061800746, stage_cost_sum = -1323300
efficiency = 0.059387372369243595, stage_cost_sum = -4196980
efficiency = 0.05827067669172932, stage_cost_sum = -1025810
efficiency = 0.05812220566318927, stage_cost_sum = -778100
efficiency = 0.05785920925747348, stage_cost_sum = -480850
efficiency = 0.061224489795918366, stage_cost_sum = -3157660
efficiency = 0.03096774193548387, stage_cost_sum = 197090
efficiency = 0.06144362696361105, stage_cost_sum = -4595080
efficiency = 0.0601640838650866, stage_cost_sum = -2760610
efficiency = 0.05983680870353581, stage_cost_sum = -500330
efficiency = 0.05873776296604874, stage_cost_sum = -4146910
efficiency = 0.05615428247305729, stage_cost_sum = -2758260
efficiency = 0.06211453744493392, stage_cost_sum = -1819870
efficiency = 0.06071179344033496, stage_cost_sum = -927340
efficiency = 0.06464485235434957, stage_cost_sum = -1188880
efficiency = 0.06306306306306306, stage_cost_sum = -184260
efficiency = 0.04424778761061947, stage_cost_sum = -971380
efficiency = 0.06005812076202777, stage_cost_sum = -2562350
efficiency = 0.05454545454545454, stage_cost_sum = -493560
efficiency = 0.059266227657572904, stage_cost_sum = -530640
efficiency = 0.058085335245607744, stage_cost_sum = -2165030
efficiency = 0.06031746031746032, stage_cost_sum = -2314720
efficiency = 0.0599087105363256, stage_cost_sum = -4692890
efficiency = 0.05747126436781609, stage_cost_sum = -1223700
efficiency = 0.05870236869207003, stage_cost_sum = -1372700
efficiency = 0.06039255158530448, stage_cost_sum = -3454480
efficiency = 0.06028368794326241, stage_cost_sum = -2017390
efficiency = 0.06034682080924855, stage_cost_sum = -3801320
efficiency = 0.05817174515235457, stage_cost_sum = -877180
efficiency = 0.058207417582417584, stage_cost_sum = -5447470
efficiency = 0.061791967044284246, stage_cost_sum = -481510
efficiency = 0.0601158860453887, stage_cost_sum = -3602950
efficiency = 0.060066740823136816, stage_cost_sum = -382130
efficiency = 0.04965332140460747, stage_cost_sum = -3149210
efficiency = 0.05810079133694294, stage_cost_sum = -4096850
efficiency = 0.058918222794591114, stage_cost_sum = -2332300
efficiency = 0.05614973262032086, stage_cost_sum = -183440
efficiency = 0.06015693112467306, stage_cost_sum = -5188620
efficiency = 0.05970149253731343, stage_cost_sum = -1472120
efficiency = 0.056997591651057, stage_cost_sum = -3006400
efficiency = 0.061224489795918366, stage_cost_sum = -977020
efficiency = 0.05812220566318927, stage_cost_sum = -1422040
efficiency = 0.06098741529525654, stage_cost_sum = -530940
efficiency = 0.05863192182410423, stage_cost_sum = -84680
efficiency = 0.05714285714285714, stage_cost_sum = -480720
efficiency = 0.0580511402902557, stage_cost_sum = -877150
efficiency = 0.05816458423093494, stage_cost_sum = -3948300
efficiency = 0.06037735849056604, stage_cost_sum = -283070
efficiency = 0.06063268892794376, stage_cost_sum = -4049300
efficiency = 0.05912863070539419, stage_cost_sum = -2314150
efficiency = 0.05786935554581324, stage_cost_sum = -1669610
efficiency = 0.061037639877924724, stage_cost_sum = -841230
efficiency = 0.05968586387434555, stage_cost_sum = -431620
efficiency = 0.059674502712477394, stage_cost_sum = -580260
efficiency = 0.05364511691884457, stage_cost_sum = -133600
efficiency = 0.05787781350482315, stage_cost_sum = -976170
efficiency = 0.062403697996918334, stage_cost_sum = -828590
efficiency = 0.0598159509202454, stage_cost_sum = -778480
efficiency = 0.060669456066945605, stage_cost_sum = -927330
efficiency = 0.060427157492620245, stage_cost_sum = -4758650
efficiency = 0.04912176242929443, stage_cost_sum = -2209380
efficiency = 0.054093567251461985, stage_cost_sum = -1321550
efficiency = 0.06363636363636363, stage_cost_sum = -184320
efficiency = 0.046789989118607184, stage_cost_sum = -1614800
